price_close,price_high,price_low,price_open,ticker,date
3241.96,3299.9,3226,3299.9,AMZN,8/17/2021
2505.95,2593.44,2500,2587.01,GOOG,1/25/2022
924.5,931.27,923.59,924.8,TSLA,2/5/2022
1208.59,1225,1119,1137.19,TSLA,11/1/2021
1156.87,1201.88,1132.8,1147.96,TSLA,11/22/2021
857,861.58,850.58,854.1,TSLA,1/30/2022
1064.47,1064.5,980,1029,TSLA,1/10/2022
708.49,715.22,702.7,706.85,TSLA,8/24/2021
3488.98,3578.11,3488,3531.37,AMZN,11/8/2021
2928.55,2980,2761.04,2786.22,GOOG,10/27/2021
2704,2723.41,2640,2708.49,GOOG,2/14/2022
3418.5,3439.51,3402.65,3403.14,AMZN,12/23/2021
1095,1172.41,1083.99,1149.11,TSLA,12/1/2021
2934.96,2968.25,2934.96,2949.96,GOOG,11/11/2021
1144.76,1167.88,1117.36,1148.49,TSLA,11/30/2021
2884.41,2893.59,2837,2858.52,GOOG,12/21/2021
843.03,849,818.97,818.97,TSLA,10/15/2021
3525.15,3525.15,3454.47,3512.21,AMZN,11/12/2021
1053.46,1059.61,1047.28,1051.31,TSLA,1/15/2022
2905.98,2924.85,2869.64,2924.85,GOOG,1/3/2022
688.99,695.68,661.92,661.92,TSLA,8/18/2021
2844,3032,2841.92,2988.33,AMZN,1/21/2022
811.29,826.5,782.55,805.71,TSLA,2/25/2022
2746.98,2760,2696.74,2734.73,GOOG,2/16/2022
1009.01,1031.14,950.78,1022.9,TSLA,12/6/2021
1065,1104.99,1020.5,1078.66,TSLA,1/6/2022
2595.65,2695.56,2593.21,2650.02,GOOG,1/21/2022
3199.95,3207.46,3176,3190,AMZN,8/20/2021
921,962.56,851.5,942,TSLA,1/24/2022
936.4,942.46,930.59,936.6,TSLA,1/22/2022
3068,3184.8,3054.26,3167.11,AMZN,2/11/2022
2731.4,2763.72,2724.5,2726.31,GOOG,8/18/2021
933.63,940.59,923.2,936.17,TSLA,1/23/2022
2546.11,2633.5,2546.11,2625.4,GOOG,2/23/2022
864.18,869.17,858.5,858.89,TSLA,2/12/2022
2690,2785.66,2665.25,2776.02,GOOG,2/11/2022
936.5,1006.77,936,979.99,TSLA,1/21/2022
2932.52,2994.54,2906.88,2980.47,GOOG,11/10/2021
781.31,793.4,770.74,781.74,TSLA,9/29/2021
2770.5,2839.99,2760.47,2839.98,GOOG,2/10/2022
3349.63,3352.03,3315.87,3317.7,AMZN,8/27/2021
2600.8,2651.79,2552.02,2586.2,GOOG,1/27/2022
3293.97,3328.28,3283.35,3328.28,AMZN,8/13/2021
2974.41,2983.1,2943.88,2965.98,GOOG,12/8/2021
3150.42,3300,2725,2921.18,AMZN,2/3/2022
1051.75,1058.75,1010.28,1011,TSLA,12/7/2021
1081.92,1110,1071,1110,TSLA,11/26/2021
777.56,795.6,766.3,789.31,TSLA,9/28/2021
743,744.6,708.93,738,TSLA,9/13/2021
3561.57,3596,3523.01,3523.11,AMZN,11/29/2021
2715,2767.42,2690.79,2710.29,GOOG,1/19/2022
993.88,1054.51,989,1027,TSLA,1/19/2022
3335.55,3437.49,3331.8,3423.26,AMZN,10/22/2021
2916.84,2935.5,2904.15,2918.56,GOOG,9/1/2021
3580.04,3620.61,3506,3575,AMZN,11/23/2021
3318.11,3380,3293.03,3380,AMZN,11/1/2021
3298.99,3309.99,3212.88,3309.99,AMZN,8/16/2021
2770.75,2774.81,2661.43,2738.9,GOOG,1/10/2022
3408.34,3413.89,3313,3354.99,AMZN,12/21/2021
2981.24,2992.3,2973,2973.1,GOOG,11/17/2021
3071.58,3089,2950.01,2974.29,AMZN,2/1/2022
824.84,856.7,785,834.56,TSLA,2/22/2022
936.31,937.99,851.2,856.74,TSLA,1/31/2022
3431.9,3431.9,3431.9,3431.9,AMZN,12/25/2021
798.25,803,677.44,743.35,TSLA,2/24/2022
2829.27,2891.04,2824,2891.04,GOOG,9/17/2021
918.7,923,863.65,881,TSLA,2/15/2022
1063.22,1067.47,1054.63,1065.17,TSLA,1/2/2022
3231,3276.79,3204.43,3217.57,AMZN,2/9/2022
2884.38,2925,2882.96,2912.56,GOOG,9/2/2021
753.87,764.38,740.9,755,TSLA,9/8/2021
2941.16,2971.62,2932.39,2944.89,GOOG,12/23/2021
3405.8,3440.65,3339,3429,AMZN,9/27/2021
1013.39,1027,978.55,1027,TSLA,11/15/2021
711.92,714.94,700.33,700.33,TSLA,8/27/2021
2935.8,2937.93,2901.1,2919,GOOG,11/3/2021
889.99,947,884,939.26,TSLA,2/2/2022
3341.58,3401,3312.5,3401,AMZN,12/20/2021
1037.86,1070.65,1008.9,1025.56,TSLA,10/27/2021
2921.98,2942.25,2912,2919.03,GOOG,12/30/2021
3384,3394.3,3325,3325,AMZN,11/3/2021
3444.24,3524.31,3411,3486.57,AMZN,12/10/2021
3420.74,3440.61,3373.14,3394.01,AMZN,12/22/2021
3315.96,3402.89,3290.5,3400,AMZN,9/28/2021
2832,2856,2792.22,2814.82,GOOG,1/12/2022
2917.26,2937.4,2876,2887.98,GOOG,11/2/2021
3457.17,3497,3421.26,3460,AMZN,9/13/2021
2729.25,2740.55,2652.57,2652.57,GOOG,10/1/2021
2960.49,2968.1,2939.17,2949.03,GOOG,12/27/2021
1137.06,1143.8,1094.07,1094.07,TSLA,11/19/2021
1066.99,1070.52,1058.7,1058.7,TSLA,1/1/2022
780.59,797.34,774.26,783.99,TSLA,10/5/2021
2869.3,2883,2843.47,2870,GOOG,9/13/2021
2973.5,2988,2947,2950.24,GOOG,12/10/2021
1024.86,1045,911,915,TSLA,10/25/2021
